step 1320 | loss 2.2179 | step time 2.61ms
step 1330 | loss 2.2274 | step time 3.78ms
step 1340 | loss 2.2907 | step time 2.23ms
step 1350 | loss 2.3340 | step time 3.14ms
step 1360 | loss 2.2136 | step time 2.43ms
step 1370 | loss 2.0748 | step time 2.46ms
step 1380 | loss 2.2344 | step time 2.55ms
step 1390 | loss 2.1985 | step time 2.04ms
step 1400 | loss 2.1241 | step time 3.37ms
step 1410 | loss 2.2478 | step time 3.36ms
step 1420 | loss 2.1482 | step time 2.45ms
step 1430 | loss 2.0611 | step time 2.58ms
step 1440 | loss 2.1467 | step time 2.92ms
step 1450 | loss 2.2661 | step time 2.31ms
step 1460 | loss 2.1560 | step time 2.19ms
step 1470 | loss 2.1578 | step time 2.17ms
step 1480 | loss 2.1493 | step time 2.99ms
step 1490 | loss 2.0786 | step time 2.17ms
step 1500 | loss 2.2534 | step time 2.69ms
step 1500 train loss: 2.1943037509918213 test loss: 2.170523166656494
test loss 2.170523166656494 is the best so far, saving model to MLP/model.pt
step 1510 | loss 2.1991 | step time 2.59ms
step 1520 | loss 2.0714 | step time 2.15ms
step 1530 | loss 2.2214 | step time 2.58ms
step 1540 | loss 2.3228 | step time 2.28ms
step 1550 | loss 2.2262 | step time 2.65ms
step 1560 | loss 2.1860 | step time 2.21ms
step 1570 | loss 2.1932 | step time 2.43ms
step 1580 | loss 2.1643 | step time 2.87ms
step 1590 | loss 2.1666 | step time 2.63ms
step 1600 | loss 2.2662 | step time 2.75ms
step 1610 | loss 2.2208 | step time 2.38ms
step 1620 | loss 2.2284 | step time 2.09ms
step 1630 | loss 2.0898 | step time 2.30ms
step 1640 | loss 1.9995 | step time 2.70ms
step 1650 | loss 2.3322 | step time 2.25ms
step 1660 | loss 2.0839 | step time 2.54ms
step 1670 | loss 2.1612 | step time 2.14ms
step 1680 | loss 2.1610 | step time 2.71ms
step 1690 | loss 2.0916 | step time 2.28ms
step 1700 | loss 2.1740 | step time 2.95ms
step 1710 | loss 2.0756 | step time 2.27ms
step 1720 | loss 2.2246 | step time 3.38ms
step 1730 | loss 2.1786 | step time 2.09ms
step 1740 | loss 2.1344 | step time 3.15ms
step 1750 | loss 2.1441 | step time 2.25ms
step 1760 | loss 2.1328 | step time 2.32ms
step 1770 | loss 2.2136 | step time 2.32ms
step 1780 | loss 2.1960 | step time 2.68ms
step 1790 | loss 2.0542 | step time 2.68ms
step 1800 | loss 2.1449 | step time 2.92ms
step 1810 | loss 2.1019 | step time 3.68ms
step 1820 | loss 2.1010 | step time 2.07ms
step 1830 | loss 2.1856 | step time 2.78ms
step 1840 | loss 2.2519 | step time 2.76ms
step 1850 | loss 2.2417 | step time 2.90ms
step 1860 | loss 2.1110 | step time 2.28ms
step 1870 | loss 2.2757 | step time 2.41ms
step 1880 | loss 2.1125 | step time 2.14ms
step 1890 | loss 2.0866 | step time 2.86ms
step 1900 | loss 2.1669 | step time 2.41ms
step 1910 | loss 2.0344 | step time 2.17ms
step 1920 | loss 1.9426 | step time 2.30ms
step 1930 | loss 2.1966 | step time 3.28ms
step 1940 | loss 2.1618 | step time 2.20ms
step 1950 | loss 2.0260 | step time 2.50ms
step 1960 | loss 2.0739 | step time 3.08ms
step 1970 | loss 2.1960 | step time 2.76ms
step 1980 | loss 2.1641 | step time 2.22ms
step 1990 | loss 2.1296 | step time 2.63ms
step 2000 | loss 2.2252 | step time 2.15ms
step 2000 train loss: 2.1585023403167725 test loss: 2.14328670501709
test loss 2.14328670501709 is the best so far, saving model to MLP/model.pt
step 2010 | loss 2.1214 | step time 2.18ms
step 2020 | loss 2.1334 | step time 2.74ms
step 2030 | loss 2.1192 | step time 2.30ms
step 2040 | loss 2.1816 | step time 2.87ms
step 2050 | loss 2.1069 | step time 2.05ms
step 2060 | loss 2.0897 | step time 2.60ms
step 2070 | loss 2.1755 | step time 2.50ms
step 2080 | loss 2.1485 | step time 3.61ms
step 2090 | loss 2.1105 | step time 2.44ms
step 2100 | loss 2.1280 | step time 3.19ms
step 2110 | loss 2.0547 | step time 2.23ms
step 2120 | loss 2.1060 | step time 3.02ms
step 2130 | loss 2.0439 | step time 2.27ms
step 2140 | loss 2.2055 | step time 2.95ms
step 2150 | loss 2.0279 | step time 2.18ms
step 2160 | loss 2.1564 | step time 2.46ms
step 2170 | loss 1.9933 | step time 2.23ms
