step 1320 | loss 2.2650 | step time 11.17ms
step 1330 | loss 2.1582 | step time 11.22ms
step 1340 | loss 2.2527 | step time 11.20ms
step 1350 | loss 2.2899 | step time 11.29ms
step 1360 | loss 2.3144 | step time 11.09ms
step 1370 | loss 2.1485 | step time 11.30ms
step 1380 | loss 2.2612 | step time 11.19ms
step 1390 | loss 2.1258 | step time 11.08ms
step 1400 | loss 2.2690 | step time 11.25ms
step 1410 | loss 2.2913 | step time 11.11ms
step 1420 | loss 2.1812 | step time 11.22ms
step 1430 | loss 2.3719 | step time 11.25ms
step 1440 | loss 2.2982 | step time 11.34ms
step 1450 | loss 2.0666 | step time 11.48ms
step 1460 | loss 2.2503 | step time 11.30ms
step 1470 | loss 2.3563 | step time 11.15ms
step 1480 | loss 2.2089 | step time 11.23ms
step 1490 | loss 2.3005 | step time 11.41ms
step 1500 | loss 2.2409 | step time 11.37ms
step 1500 train loss: 2.2033956050872803 test loss: 2.2032299041748047
test loss 2.2032299041748047 is the best so far, saving model to Transformer/model.pt
step 1510 | loss 2.1679 | step time 11.44ms
step 1520 | loss 2.1730 | step time 11.25ms
step 1530 | loss 2.2188 | step time 11.15ms
step 1540 | loss 2.1323 | step time 11.22ms
step 1550 | loss 2.3403 | step time 11.43ms
step 1560 | loss 2.0949 | step time 11.13ms
step 1570 | loss 2.2160 | step time 11.31ms
step 1580 | loss 2.2190 | step time 11.34ms
step 1590 | loss 2.1660 | step time 10.99ms
step 1600 | loss 2.2512 | step time 11.21ms
step 1610 | loss 2.2519 | step time 11.28ms
step 1620 | loss 2.0768 | step time 12.05ms
step 1630 | loss 2.2598 | step time 11.53ms
step 1640 | loss 2.3003 | step time 11.34ms
step 1650 | loss 2.1736 | step time 11.29ms
step 1660 | loss 2.3395 | step time 11.50ms
step 1670 | loss 2.2802 | step time 11.39ms
step 1680 | loss 2.2709 | step time 11.56ms
step 1690 | loss 2.3260 | step time 11.25ms
step 1700 | loss 2.2481 | step time 11.20ms
step 1710 | loss 2.2950 | step time 11.32ms
step 1720 | loss 2.2361 | step time 11.34ms
step 1730 | loss 2.2197 | step time 11.30ms
step 1740 | loss 2.1765 | step time 11.40ms
step 1750 | loss 2.2097 | step time 11.39ms
step 1760 | loss 2.1504 | step time 11.33ms
