step 0 | loss 3.5230 | step time 198.91ms
step 10 | loss 2.9060 | step time 16.17ms
step 20 | loss 2.7419 | step time 16.95ms
step 30 | loss 2.5842 | step time 16.09ms
step 40 | loss 2.4904 | step time 16.34ms
step 50 | loss 2.5640 | step time 16.67ms
step 60 | loss 2.4668 | step time 16.80ms
step 70 | loss 2.4896 | step time 17.08ms
step 80 | loss 2.4047 | step time 16.30ms
step 90 | loss 2.3241 | step time 16.78ms
step 100 | loss 2.5363 | step time 16.66ms
step 110 | loss 2.4235 | step time 20.19ms
step 120 | loss 2.3784 | step time 16.85ms
step 130 | loss 2.3305 | step time 30.72ms
step 140 | loss 2.4390 | step time 16.45ms
step 150 | loss 2.2720 | step time 16.55ms
step 160 | loss 2.2226 | step time 16.20ms
step 170 | loss 2.3002 | step time 16.45ms
step 180 | loss 2.2114 | step time 16.48ms
step 190 | loss 2.3313 | step time 16.67ms
step 200 | loss 2.4642 | step time 16.74ms
step 210 | loss 2.3501 | step time 16.15ms
step 220 | loss 2.3010 | step time 16.22ms
step 230 | loss 2.3041 | step time 16.35ms
step 240 | loss 2.4626 | step time 16.37ms
step 250 | loss 2.2639 | step time 16.46ms
step 260 | loss 2.3523 | step time 16.14ms
step 270 | loss 2.2858 | step time 16.45ms
step 280 | loss 2.3409 | step time 16.47ms
step 290 | loss 2.2592 | step time 16.22ms
step 300 | loss 2.2700 | step time 16.58ms
step 310 | loss 2.2932 | step time 16.82ms
step 320 | loss 2.3411 | step time 16.71ms
step 330 | loss 2.2875 | step time 16.13ms
step 340 | loss 2.2053 | step time 16.26ms
step 350 | loss 2.3510 | step time 16.34ms
step 360 | loss 2.2237 | step time 16.48ms
step 370 | loss 2.2567 | step time 16.42ms
step 380 | loss 2.2848 | step time 16.19ms
step 390 | loss 2.2298 | step time 16.59ms
step 400 | loss 2.2032 | step time 16.31ms
step 410 | loss 2.1924 | step time 16.20ms
step 420 | loss 2.3069 | step time 16.26ms
step 430 | loss 2.2536 | step time 16.73ms
step 440 | loss 2.2904 | step time 16.18ms
step 450 | loss 2.3180 | step time 16.24ms
step 460 | loss 2.2811 | step time 16.58ms
step 470 | loss 2.2000 | step time 16.43ms
step 480 | loss 2.2064 | step time 16.54ms
step 490 | loss 2.2932 | step time 16.48ms
step 500 | loss 2.2899 | step time 16.39ms
step 500 train loss: 2.227081060409546 test loss: 2.214714527130127
test loss 2.214714527130127 is the best so far, saving model to Transformer/model.pt
step 510 | loss 2.2985 | step time 16.30ms
step 520 | loss 2.1863 | step time 16.73ms
step 530 | loss 2.3350 | step time 16.61ms
step 540 | loss 2.2671 | step time 16.86ms
step 550 | loss 2.1865 | step time 16.87ms
step 560 | loss 2.1863 | step time 16.49ms
step 570 | loss 2.3024 | step time 16.47ms
step 580 | loss 2.3326 | step time 16.58ms
step 590 | loss 2.2246 | step time 16.38ms
step 600 | loss 2.1425 | step time 16.43ms
step 610 | loss 2.2292 | step time 16.80ms
step 620 | loss 2.2473 | step time 16.41ms
step 630 | loss 2.2963 | step time 16.44ms
step 640 | loss 2.2707 | step time 16.67ms
step 650 | loss 2.2198 | step time 16.46ms
step 660 | loss 2.2241 | step time 15.99ms
step 670 | loss 2.1636 | step time 16.39ms
step 680 | loss 2.1869 | step time 16.55ms
step 690 | loss 2.2228 | step time 16.21ms
step 700 | loss 2.2143 | step time 16.64ms
step 710 | loss 2.1332 | step time 16.33ms
step 720 | loss 2.1729 | step time 16.57ms
step 730 | loss 2.2068 | step time 16.22ms
step 740 | loss 2.0893 | step time 16.42ms
step 750 | loss 2.2554 | step time 16.14ms
step 760 | loss 2.2348 | step time 16.55ms
step 770 | loss 2.2575 | step time 16.20ms
step 780 | loss 2.1888 | step time 16.68ms
step 790 | loss 2.2347 | step time 16.44ms
step 800 | loss 2.2697 | step time 16.31ms
step 810 | loss 2.1370 | step time 16.41ms
step 820 | loss 2.2116 | step time 16.63ms
step 830 | loss 2.1856 | step time 16.49ms
step 840 | loss 2.3108 | step time 16.87ms
step 850 | loss 2.2048 | step time 16.77ms
step 860 | loss 2.1564 | step time 16.63ms
step 870 | loss 2.1987 | step time 16.51ms
step 880 | loss 2.2039 | step time 16.59ms
step 890 | loss 2.0711 | step time 16.79ms
step 900 | loss 2.2217 | step time 16.45ms
step 910 | loss 2.2374 | step time 16.71ms
step 920 | loss 2.2470 | step time 16.57ms
step 930 | loss 2.2707 | step time 16.54ms
step 940 | loss 2.0469 | step time 16.66ms
step 950 | loss 2.1789 | step time 16.72ms
step 960 | loss 2.3075 | step time 16.71ms
step 970 | loss 2.3187 | step time 16.87ms
step 980 | loss 2.2926 | step time 16.38ms
step 990 | loss 2.2353 | step time 16.32ms
step 1000 | loss 2.2489 | step time 16.44ms
step 1000 train loss: 2.1538608074188232 test loss: 2.1542789936065674
test loss 2.1542789936065674 is the best so far, saving model to Transformer/model.pt
step 1010 | loss 2.1646 | step time 16.48ms
step 1020 | loss 2.3024 | step time 16.19ms
step 1030 | loss 2.1659 | step time 16.53ms
step 1040 | loss 2.1156 | step time 16.71ms
step 1050 | loss 2.2796 | step time 16.30ms
step 1060 | loss 2.2476 | step time 16.41ms
step 1070 | loss 2.1925 | step time 16.79ms
step 1080 | loss 2.0576 | step time 16.42ms
step 1090 | loss 2.1104 | step time 16.34ms
step 1100 | loss 2.2967 | step time 16.86ms
step 1110 | loss 2.2068 | step time 16.65ms
step 1120 | loss 2.1080 | step time 16.25ms
step 1130 | loss 2.2424 | step time 17.02ms
step 1140 | loss 2.2416 | step time 19.59ms
step 1150 | loss 2.1592 | step time 20.98ms
step 1160 | loss 2.1179 | step time 18.26ms
step 1170 | loss 2.2264 | step time 16.67ms
step 1180 | loss 2.2532 | step time 16.63ms
step 1190 | loss 2.1968 | step time 16.63ms
step 1200 | loss 2.1635 | step time 16.55ms
step 1210 | loss 2.1848 | step time 16.86ms
step 1220 | loss 2.1919 | step time 17.23ms
step 1230 | loss 2.3052 | step time 16.21ms
step 1240 | loss 2.2474 | step time 17.80ms
step 1250 | loss 2.0122 | step time 16.32ms
step 1260 | loss 2.2261 | step time 16.38ms
step 1270 | loss 2.1524 | step time 16.76ms
step 1280 | loss 2.2155 | step time 16.46ms
step 1290 | loss 2.0871 | step time 15.89ms
step 1300 | loss 2.2813 | step time 16.72ms
step 1310 | loss 2.1160 | step time 16.31ms
step 1320 | loss 2.1953 | step time 16.60ms
step 1330 | loss 2.2149 | step time 16.61ms
step 1340 | loss 2.1434 | step time 16.25ms
step 1350 | loss 2.0920 | step time 16.37ms
step 1360 | loss 2.2379 | step time 16.70ms
step 1370 | loss 2.0910 | step time 16.25ms
step 1380 | loss 2.2203 | step time 16.47ms
step 1390 | loss 2.1632 | step time 16.76ms
step 1400 | loss 2.3486 | step time 16.58ms
step 1410 | loss 2.1452 | step time 16.46ms
step 1420 | loss 2.1580 | step time 16.51ms
step 1430 | loss 2.1705 | step time 16.87ms
step 1440 | loss 2.3254 | step time 16.21ms
step 1450 | loss 2.1633 | step time 16.96ms
step 1460 | loss 2.1970 | step time 16.54ms
step 1470 | loss 2.0931 | step time 16.49ms
step 1480 | loss 2.1735 | step time 16.57ms
step 1490 | loss 2.0149 | step time 16.63ms
step 1500 | loss 2.2855 | step time 16.34ms
step 1500 train loss: 2.129758596420288 test loss: 2.125312328338623
test loss 2.125312328338623 is the best so far, saving model to Transformer/model.pt
step 1510 | loss 2.0368 | step time 16.65ms
step 1520 | loss 2.2214 | step time 16.57ms
step 1530 | loss 2.0455 | step time 16.78ms
step 1540 | loss 2.0986 | step time 16.96ms
step 1550 | loss 2.1142 | step time 16.58ms
step 1560 | loss 2.1610 | step time 16.71ms
step 1570 | loss 2.2921 | step time 16.83ms
step 1580 | loss 2.1951 | step time 16.58ms
step 1590 | loss 2.1665 | step time 16.69ms
step 1600 | loss 2.2390 | step time 16.65ms
step 1610 | loss 2.1073 | step time 16.52ms
step 1620 | loss 2.0529 | step time 16.32ms
step 1630 | loss 2.2266 | step time 15.62ms
step 1640 | loss 2.2044 | step time 16.21ms
step 1650 | loss 2.1164 | step time 16.39ms
step 1660 | loss 2.0881 | step time 16.51ms
step 1670 | loss 2.1040 | step time 16.28ms
step 1680 | loss 2.2315 | step time 16.65ms
step 1690 | loss 2.1778 | step time 16.52ms
step 1700 | loss 2.1608 | step time 16.25ms
step 1710 | loss 2.1637 | step time 16.85ms
step 1720 | loss 2.1743 | step time 16.13ms
step 1730 | loss 2.0691 | step time 16.44ms
step 1740 | loss 2.2251 | step time 16.57ms
step 1750 | loss 2.2142 | step time 16.44ms
step 1760 | loss 2.1308 | step time 16.34ms
step 1770 | loss 2.2132 | step time 16.52ms
step 1780 | loss 2.1620 | step time 16.50ms
step 1790 | loss 2.0452 | step time 16.31ms
step 1800 | loss 2.1780 | step time 16.78ms
step 1810 | loss 2.1875 | step time 16.68ms
step 1820 | loss 2.1146 | step time 16.63ms
step 1830 | loss 2.1305 | step time 16.63ms
step 1840 | loss 2.0756 | step time 16.46ms
step 1850 | loss 2.1263 | step time 16.80ms
step 1860 | loss 2.1502 | step time 16.67ms
step 1870 | loss 2.0708 | step time 16.68ms
step 1880 | loss 2.1739 | step time 17.02ms
step 1890 | loss 2.0247 | step time 16.61ms
step 1900 | loss 2.1345 | step time 16.55ms
step 1910 | loss 2.1995 | step time 16.36ms
step 1920 | loss 2.0840 | step time 16.73ms
step 1930 | loss 2.1312 | step time 16.46ms
step 1940 | loss 2.1826 | step time 16.58ms
step 1950 | loss 2.1202 | step time 16.76ms
step 1960 | loss 2.1959 | step time 16.61ms
step 1970 | loss 2.1047 | step time 16.25ms
step 1980 | loss 2.2511 | step time 16.78ms
step 1990 | loss 2.1592 | step time 16.48ms
step 2000 | loss 2.1461 | step time 16.49ms
step 2000 train loss: 2.135631561279297 test loss: 2.103445529937744
test loss 2.103445529937744 is the best so far, saving model to Transformer/model.pt
step 2010 | loss 2.0927 | step time 16.83ms
step 2020 | loss 2.1215 | step time 16.66ms
step 2030 | loss 2.2175 | step time 16.52ms
step 2040 | loss 2.3354 | step time 16.82ms
step 2050 | loss 2.0104 | step time 16.89ms
step 2060 | loss 2.1144 | step time 16.75ms
step 2070 | loss 2.0695 | step time 16.81ms
step 2080 | loss 2.2232 | step time 16.85ms
step 2090 | loss 2.0840 | step time 16.77ms
step 2100 | loss 2.0856 | step time 17.02ms
